Tm,Salary,Cap Hit,Player
PHI,"5,750,000","5,750,000",Matt Niskanen
NJD,"5,750,000","5,750,000",Travis Zajac
FLA,"5,650,000","5,187,500",Mike Hoffman
STL,"5,525,000","5,500,000",Colton Parayko
TBL,"5,500,000","5,000,000",Tyler Johnson
LAK,"5,500,000","5,875,000",Dustin Brown
DAL,"5,500,000","4,916,666",Ben Bishop
FLA,"5,500,000","5,500,000",Anton Stralman
MIN,"5,500,000","5,187,500",Jared Spurgeon
CBJ,"5,500,000","5,500,000",Nick Foligno
MTL,"5,500,000","5,500,000",Jonathan Drouin
STL,"5,500,000","5,750,000","Steen, Alexander"
DET,"5,500,000","5,250,000",Frans Nielsen
CAR,"5,500,000","5,300,000",Jaccob Slavin
BUF,"5,400,000","5,400,000",Rasmus Ristolainen
CAR,"5,400,000","5,250,000",Brady Skjei
CBJ,"5,350,000","4,900,000",Alexander Wennberg
NYR,"5,350,000","5,350,000",Mika Zibanejad
TBL,"5,300,000","5,300,000",Ondrej Palat
PIT,"5,300,000","5,300,000",Patric Hornqvist
VAN,"5,250,000","4,450,000","Tanev, Christopher"
CAR,"5,250,000","4,750,000",Vincent Trocheck
ANA,"5,250,000","5,250,000",Jakob Silfverberg
CGY,"5,250,000","5,250,000",Milan Lucic
ANA,"5,250,000","5,205,556",Hampus Lindholm
TBL,"5,250,000","6,750,000",Brayden Point
PHI,"5,250,000","4,500,000",Shayne Gostisbehere
STL,"5,250,000","5,000,000",Tyler Bozak
STL,"5,200,000","4,350,000",Jake Allen
EDM,"5,200,000","4,500,000",Mikko Koskinen
VEG,"5,200,000","5,200,000",Shea Theodore
STL,"5,151,725","4,150,000",Justin Faulk
EDM,"5,050,000","4,166,666",Adam Larsson
ARI,"5,000,000","6,500,000",Derek Stepan
CGY,"5,000,000","7,000,000",Matthew Tkachuk
CBJ,"5,000,000","4,250,000",David Savard
VEG,"5,000,000","5,000,000",Reilly Smith
NYI,"5,000,000","5,500,000",Andrew Ladd
DAL,"5,000,000","4,250,000",John Klingberg
BOS,"5,000,000","5,250,000",Torey Krug
MIN,"5,000,000","5,500,000",Mikko Koivu
TOR,"5,000,000","5,000,000",Frederik Andersen
MIN,"5,000,000","6,000,000",Mats Zuccarello
WSH,"5,000,000","6,100,000",Braden Holtby
NJD,"5,000,000","4,500,000",Nikita Gusev
VAN,"5,000,000","6,000,000",Loui Eriksson
BUF,"5,000,000","4,500,000",Marcus Johansson
NJD,"5,000,000","4,650,000",Kyle Palmieri
NYI,"5,000,000","5,000,000",Andy Greene
TOR,"5,000,000","3,500,000",Alexander Kerfoot
NYR,"5,000,000","5,700,000",Marc Staal
ARI,"5,000,000","4,250,000",Antti Raanta
CHI,"5,000,000","6,000,000",Corey Crawford
MTL,"4,981,132","4,800,000",Tomas Tatar
CGY,"4,950,000","4,950,000",Noah Hanifin
MIN,"4,900,000","4,900,000",Alex Galchenyuk
COL,"4,900,000","3,900,000",Joonas Donskoi
CGY,"4,838,000","4,650,400","Brodie, TJ"
VAN,"4,800,000","4,600,000",Tyler Toffoli
MIN,"4,750,000","4,166,667",Jonas Brodin
COL,"4,750,000","4,250,000",Ian Cole
NSH,"4,750,000","4,250,000",Craig Smith
DET,"4,750,000","4,250,000",Justin Abdelkader
STL,"4,750,000","4,000,000",David Perron
NJD,"4,675,000","4,166,666",Damon Severson
MTL,"4,625,000","4,625,000",Karl Alzner
STL,"4,550,000","4,400,000",Jordan Binnington
NYR,"4,525,000","4,350,000",Brendan Smith
VAN,"4,500,000","4,375,000",Brandon Sutter
STL,"4,500,000","5,125,000",Brayden Schenn
WSH,"4,500,000","5,166,666",Tom Wilson
OTT,"4,500,000","4,500,000",Nikita Zaitsev
CBJ,"4,500,000","4,600,000",Ryan Murray
PHI,"4,500,000","4,333,333",Sean Couturier
TOR,"4,450,000","4,000,000",Jake Muzzin
TBL,"4,450,000","4,450,000",Alex Killorn
TOR,"4,400,000","3,200,000",Kasperi Kapanen
CHI,"4,400,000","3,850,000",Connor Murphy
BOS,"4,375,000","6,875,000",Patrice Bergeron
WPG,"4,333,333","4,333,333",Dmitry Kulikov
NSH,"4,250,000","4,250,000",Viktor Arvidsson
ANA,"4,250,000","4,100,000",Josh Manson
DET,"4,250,000","4,250,000",Jonathan Ericsson
BOS,"4,250,000","3,200,000",Charlie Coyle
VEG,"4,150,000","4,000,000",Alec Martinez
NSH,"4,100,000","4,100,000",Nick Bonino
CHI,"4,083,300","4,083,333",Olli Maatta
CBJ,"4,000,000","3,750,000",Boone Jenner
MTL,"4,000,000","3,400,000",Paul Byron
CBJ,"4,000,000","5,000,000","Werenski, Zachary"
OTT,"4,000,000","4,750,000",Craig Anderson
MTL,"4,000,000","3,750,000",Brendan Gallagher
EDM,"4,000,000","4,000,000",Kris Russell
DET,"4,000,000","4,000,000",Jimmy Howard
MTL,"4,000,000","5,500,000",Jeff Petry
PHI,"4,000,000","5,500,000",Travis Konecny
SJS,"4,000,000","6,000,000",Timo Meier
VAN,"4,000,000","3,666,667",Jacob Markstrom
PIT,"4,000,000","3,250,000",Jack Johnson
OTT,"4,000,000","4,550,000",Artem Anisimov
ARI,"4,000,000","4,750,000",Carl Soderberg
TBL,"4,000,000","3,500,000",Andrei Vasilevskiy
NYR,"4,000,000","4,625,000",Chris Kreider
NSH,"4,000,000","3,750,000",Mattias Ekholm
OTT,"4,000,000","4,750,000",Colin White
NSH,"4,000,000","4,000,000",Roman Josi
WSH,"4,000,000","3,500,000",Lars Eller
MIN,"4,000,000","4,000,000",Victor Rask
BUF,"3,875,000","3,875,000",Colin Miller
WPG,"3,850,000","3,850,000",Cody Eakin
VAN,"3,850,000","3,750,000",Tanner Pearson
PHI,"3,800,000","3,800,000",Justin Braun
VAN,"3,800,000","3,000,000",Antoine Roussel
ANA,"3,800,000","3,789,444",Rickard Rakell
ARI,"3,775,000","3,350,000",Michael Grabner
BUF,"3,750,000","3,650,000",Sam Reinhart
NYI,"3,750,000","3,333,333",Thomas Greiss
PIT,"3,750,000","3,750,000",Matt Murray
BOS,"3,700,000","4,900,000",Charlie McAvoy
WSH,"3,700,000","3,350,000",Jakub Vrana
CAR,"3,650,000","4,050,000",Jake Gardiner
FLA,"3,600,000","4,000,000","Dadonov, Evgeni"
BUF,"3,525,000","3,387,500",Brandon Montour
CHI,"3,500,000","5,538,462",Duncan Keith
FLA,"3,500,000","2,733,333",Mark Pysyk
MTL,"3,500,000","3,500,000",Ben Chiarot
PIT,"3,500,000","3,500,000",Bryan Rust
NYI,"3,500,000","3,000,000",Leo Komarov
MIN,"3,500,000","4,333,333",Devan Dubnyk
MIN,"3,500,000","2,875,000",Marcus Foligno
PIT,"3,500,000","3,500,000",Brandon Tanev
WSH,"3,500,000","2,750,000",Carl Hagelin
NJD,"3,500,000","3,733,333",Will Butcher
NYI,"3,500,000","3,500,000",Cal Clutterbuck
FLA,"3,500,000","3,500,000",Brett Connolly
MIN,"3,500,000","3,250,000",Eric Staal
FLA,"3,500,000","4,875,000","Matheson, Michael"
OTT,"3,500,000","3,500,000",Ron Hainsey
NSH,"3,450,000","2,857,143",Colton Sissons
NYI,"3,400,000","3,100,000",Jean-Gabriel Pageau
COL,"3,400,000","3,500,000",J.T. Compher
DET,"3,300,000","3,300,000",Anthony Mantha
CAR,"3,250,000","3,375,000",Ryan Dzingel
DET,"3,250,000","3,000,000",Jonathan Bernier
COL,"3,250,000","3,250,000",Vladislav Namestnikov
PHI,"3,250,000","3,250,000",Travis Sanheim
COL,"3,250,000","3,250,000",Andre Burakovsky
ARI,"3,250,000","4,450,000",Christian Dvorak
CHI,"3,250,000","3,250,000",Zack Smith
DAL,"3,250,000","3,250,000",Andrew Cogliano
BOS,"3,250,000","2,750,000",John Moore
EDM,"3,200,000","3,200,000",Darnell Nurse
NYR,"3,200,000","3,100,000",Ryan Strome
DET,"3,200,000","3,000,000",Patrik Nemeth
WSH,"3,200,000","2,750,000",Richard Panik
VAN,"3,200,000","3,000,000",Jay Beagle
COL,"3,200,000","3,200,000",Nikita Zadorov
ARI,"3,150,000","3,937,500",Jason Demers
WPG,"3,150,000","3,150,000","Morrissey, Joshua"
MTL,"3,150,000","3,150,000",Max Domi
CGY,"3,125,000","3,125,000",Derek Ryan
CAR,"3,100,000","3,400,000",James Reimer
CAR,"3,100,000","3,100,000",Joel Edmundson
DET,"3,000,000","3,000,000",Valtteri Filppula
ANA,"3,000,000","4,500,000",David Backes
EDM,"3,000,000","3,000,000",Andreas Athanasiou
PIT,"3,000,000","3,000,000",Conor Sheary
ARI,"3,000,000","3,000,000",Taylor Hall
TOR,"3,000,000","2,750,000",Tyson Barrie
DET,"3,000,000","3,850,000",Darren Helm
OTT,"3,000,000","4,000,000",Mikkel Boedker
BUF,"3,000,000","4,300,000",Michael Frolik
TBL,"3,000,000","2,400,000",Mike Condon
NYR,"3,000,000","3,250,000",Pavel Buchnevich
MTL,"3,000,000","3,083,333",Phillip Danault
CAR,"3,000,000","3,125,000",Petr Mrazek
ARI,"3,000,000","5,850,000",Nick Schmaltz
WSH,"3,000,000","2,500,000",Nick Jensen
LAK,"3,000,000","5,272,727",Jeff Carter
OTT,"2,975,000","2,937,500",Chris Tierney
BUF,"2,900,000","2,850,000",Jake McCabe
DET,"2,880,000","2,835,000",Sam Gagner
WPG,"2,850,000","3,000,000",Neal Pionk
ANA,"2,825,000","2,800,000",Danton Heinen
DAL,"2,800,000","2,350,000",Stephen Johns
MTL,"2,800,000","2,600,000",Joel Armia
VEG,"2,775,000","2,775,000",Ryan Reaves
BUF,"2,750,000","2,750,000",Carter Hutton
FLA,"2,750,000","2,750,000",Erik Haula
CGY,"2,750,000","2,750,000",Cam Talbot
CBJ,"2,750,000","2,750,000",Riley Nash
CGY,"2,750,000","2,750,000",David Rittich
WSH,"2,700,000","2,500,000",Michal Kempny
NYI,"2,650,000","2,000,000",Ryan Pulock
EDM,"2,625,000","2,687,500",Mike Green
DAL,"2,600,000","2,400,000",Blake Comeau
BOS,"2,600,000","2,600,000",Ondrej Kase
CGY,"2,550,000","2,550,000",Sam Bennett
VEG,"2,500,000","2,500,000",Brayden McNabb
BUF,"2,500,000","2,500,000",Wayne Simmonds
CAR,"2,500,000","2,300,000",Trevor van Riemsdyk
NJD,"2,500,000","2,750,000",Miles Wood
FLA,"2,500,000","2,533,333",Frank Vatrano
TOR,"2,500,000","2,250,000",Zach Hyman
MIN,"2,500,000","3,000,000",Kevin Fiala
CBJ,"2,500,000","2,500,000",Oliver Bjorkstrand
CBJ,"2,500,000","2,700,000",Markus Nutivaara
DAL,"2,500,000","2,500,000",Anton Khudobin
VAN,"2,400,000","2,000,000",Jordie Benn
DAL,"2,400,000","2,200,000",Radek Faksa
MTL,"2,400,000","2,400,000",Artturi Lehkonen
CBJ,"2,400,000","2,300,000",Devin Shore
LAK,"2,400,000","2,425,000",Alex Iafallo
STL,"2,375,000","2,000,000",Marco Scandella
BUF,"2,350,000","2,275,000",Jimmy Vesey
VAN,"2,325,000","2,325,000",Troy Stecher
PHI,"2,300,000","2,300,000",Scott Laughton
DAL,"2,300,000","2,300,000",Mattias Janmark
WPG,"2,260,000","2,280,000",Andrew Copp
BOS,"2,250,000","2,750,000",Jaroslav Halak
STL,"2,250,000","2,750,000",Oskar Sundqvist
MIN,"2,250,000","2,250,000",Greg Pateryn
DET,"2,200,000","3,166,666",Trevor Daley
NSH,"2,200,000","2,000,000",Calle Jarnkrok
BOS,"2,200,000","2,850,000",Brandon Carlo
EDM,"2,150,000","2,150,000",Alex Chiasson
COL,"2,150,000","1,800,000",Pierre-Edouard Bellemare
OTT,"2,100,000","2,100,000",Connor Brown
CGY,"2,100,000","1,893,750",Derek Forbort
ARI,"2,100,000","1,850,000",Darcy Kuemper
PIT,"2,000,000","2,000,000",Evan Rodrigues
EDM,"2,000,000","2,000,000",Mike Smith
SJS,"2,000,000","2,000,000",Joe Thornton
WSH,"2,000,000","1,500,000",Garnet Hathaway
FLA,"2,000,000","1,666,667",Noel Acciari
EDM,"2,000,000","1,900,000","Benning, Matthew"
SJS,"2,000,000","2,000,000",Melker Karlsson
LAK,"2,000,000","2,000,000",Trevor Lewis
BOS,"2,000,000","2,000,000",Zdeno Chara
EDM,"2,000,000","1,950,000",Zack Kassian
PHI,"2,000,000","2,000,000",Brian Elliott
COL,"1,975,000","1,975,000","Nieto, Matt"
DAL,"1,962,500","2,137,500",Jamie Oleksiak
NYR,"1,950,000","1,850,000",Jesper Fast
WSH,"1,950,000","1,635,000",Brenden Dillon
MTL,"1,950,000","1,850,000",Brett Kulak
MIN,"1,900,000","1,900,000",Ryan Hartman
CAR,"1,900,000","2,100,000",Brock McGinn
CAR,"1,850,000","2,000,000",Jordan Martinook
VEG,"1,800,000","2,200,000",Nick Holden
NYI,"1,800,000","2,100,000",Anthony Beauvillier
TBL,"1,800,000","1,700,000",Braydon Coburn
TBL,"1,800,000","1,800,000",Blake Coleman
PHI,"1,800,000","1,600,000",Michael Raffl
WSH,"1,750,000","2,345,000",Radko Gudas
NJD,"1,750,000","2,250,000",Pavel Zacha
NYI,"1,750,000","2,500,000",Matt Martin
MTL,"1,750,000","2,350,000",Dale Weise
TBL,"1,750,000","1,750,000",Kevin Shattenkirk
DAL,"1,750,000","1,750,000",Roman Polak
CGY,"1,750,000","1,675,000",Mark Jankowski
STL,"1,750,000","1,750,000",Carl Gunnarsson
DET,"1,700,000","1,800,000",Luke Glendening
OTT,"1,650,000","1,650,000",Anthony Duclair
MIN,"1,650,000","1,900,000",Ryan Donato
TBL,"1,650,000","1,650,000",Cedric Paquette
SJS,"1,600,000","1,900,000",Aaron Dell
CBJ,"1,600,000","1,633,333",Scott Harrington
BUF,"1,600,000","1,600,000",Zemgus Girgensons
FLA,"1,600,000","1,600,000",MacKenzie Weegar
BUF,"1,550,000","1,550,000",Johan Larsson
LAK,"1,500,000","1,500,000",Ben Hutton
SJS,"1,500,000","1,500,000",Marcus Sorensen
DAL,"1,500,000","1,500,000",Corey Perry
VAN,"1,500,000","1,250,000",Jake Virtanen
STL,"1,500,000","1,500,000","Sanford, Zachary"
CHI,"1,500,000","1,500,000",Drake Caggiula
NJD,"1,500,000","1,500,000",Connor Carrick
DAL,"1,500,000","1,500,000",Andrej Sekera
NSH,"1,500,000","1,500,000",Juuse Saros
OTT,"1,500,000","1,500,000",Mike Reilly
ARI,"1,500,000","1,500,000",Vinnie Hinostroza
BOS,"1,475,000","1,275,000",Sean Kuraly
VEG,"1,475,000","1,375,000","Merrill, Jon"
MIN,"1,450,000","1,487,500",Joel Eriksson Ek
COL,"1,450,000","1,450,000",Mark Barberio
DAL,"1,400,000","1,500,000",Jason Dickinson
NJD,"1,400,000","1,400,000",Mirco Mueller
VEG,"1,400,000","1,400,000",Robin Lehner
STL,"1,400,000","1,475,000",Ivan Barbashev
BOS,"1,400,000","1,400,000",Matt Grzelcyk
CGY,"1,400,000","1,200,000",Erik Gustafsson
BOS,"1,400,000","1,498,925",Nick Ritchie
DET,"1,400,000","1,400,000",Tyler Bertuzzi
ARI,"1,400,000","1,250,000",Brad Richardson
STL,"1,375,000","1,375,000",Robert Bortuzzo
MTL,"1,300,000","1,400,000",Jordan Weal
PHI,"1,300,000","1,150,000",Robert Hagg
TBL,"1,300,000","1,300,000",Zach Bogosian
TBL,"1,300,000","1,300,000",Curtis McElhinney
EDM,"1,300,000","1,300,000",Markus Granlund
OTT,"1,300,000","1,300,000",Matthew Peca
ANA,"1,250,000","1,250,000",Christian Djoos
BOS,"1,250,000","1,250,000",Chris Wagner
LAK,"1,250,000","2,000,000",Adrian Kempe
PIT,"1,250,000","1,250,000",Jared McCann
WPG,"1,225,000","1,225,000",Laurent Brossoit
FLA,"1,200,000","1,200,000",Colton Sceviour
ARI,"1,200,000","1,400,000",Jordan Oesterle
NYI,"1,200,000","1,450,000",Scott Mayfield
NSH,"1,200,000","1,100,000",Austin Watson
NYI,"1,200,000","1,200,000",Derick Brassard
CBJ,"1,150,000","1,150,000",Joonas Korpisalo
VAN,"1,150,000","1,150,000",Louis Domingue
ANA,"1,125,000","1,125,000",Ryan Miller
BOS,"1,100,000","1,000,000",Joakim Nordstrom
EDM,"1,100,000","1,200,000",Jujhar Khaira
DET,"1,050,000","1,050,000",Adam Erne
VEG,"1,050,000","1,050,000",Chandler Stephenson
ARI,"1,000,000","1,533,333",Lawson Crouse
CHI,"1,000,000","1,000,000",David Kampf
WPG,"1,000,000","1,000,000",Nathan Beaulieu
VEG,"1,000,000","1,000,000",Tomas Nosek
DET,"1,000,000","1,000,000",Madison Bowey
CHI,"1,000,000","1,000,000",Ryan Carpenter
NSH,"1,000,000","1,000,000",Rocco Grimaldi
EDM,"1,000,000","1,000,000",Josh Archibald
VEG,"1,000,000","1,000,000",Nick Cousins
TBL,"1,000,000","925,000",Barclay Goodrow
NSH,"1,000,000","1,250,000",Dan Hamhuis
PHI,"1,000,000","1,000,000",Tyler Pitlick
ANA,"1,000,000","1,133,333",Carter Rowney
PIT,"1,000,000","1,000,000",Zach Aston-Reese
PHI,"1,000,000","1,000,000",Nate Thompson
NYI,"1,000,000","1,000,000",Ross Johnston
SJS,"1,000,000","1,000,000",Kevin Labanc
VAN,"975,000","975,000",Tyler Motte
SJS,"960,000","960,000",Tim Heed
COL,"950,000","950,000",Pavel Francouz
STL,"950,000","900,000",Jacob de La Rose
TOR,"950,000","800,000",Kyle Clifford
ANA,"950,000","950,000",Nicolas Deslauriers
CHI,"925,000","925,000",Kirby Dach
MTL,"925,000","925,000",Jake Evans
BOS,"925,000","925,000",Anders Bjork
COL,"925,000","925,000",Logan O'Connor
NJD,"925,000","925,000",Jack Hughes
NYR,"925,000","925,000",Kaapo Kakko
VAN,"925,000","925,000",Elias Pettersson
STL,"925,000","894,166",Robert Thomas
LAK,"925,000","925,000",Nikolai Prokhorkin
DET,"925,000","894,166",Dennis Cholowski
BUF,"925,000","925,000",Henri Jokiharju
TOR,"925,000","925,000",Pierre Engvall
NYR,"925,000","925,000",Adam Fox
EDM,"925,000","925,000",Gaetan Haas
TOR,"925,000","894,167",Rasmus Sandin
NYI,"925,000","894,167",Noah Dobson
WSH,"925,000","925,000",Ilya Samsonov
LAK,"925,000","925,000",Blake Lizotte
SJS,"925,000","925,000",Mario Ferraro
BUF,"925,000","925,000",Rasmus Dahlin
ANA,"925,000","925,000",Kiefer Sherwood
NYR,"925,000","925,000",Ryan Lindgren
CBJ,"925,000","916,667",Andrew Peeke
NJD,"925,000","925,000","Anderson, Joseph"
CAR,"925,000","863,333",Martin Necas
CBJ,"925,000","925,000",Emil Bemstrom
DAL,"925,000","894,166",Miro Heiskanen
CHI,"925,000","894,167",Adam Boqvist
ARI,"925,000","894,167",Barrett Hayton
NSH,"925,000","925,000",Dante Fabbro
PHI,"925,000","925,000",Joel Farabee
BUF,"925,000","925,000",Lawrence Pilut
NYR,"925,000","925,000",Anthony DeAngelo
CBJ,"925,000","925,000",Vladislav Gavrikov
CAR,"925,000","925,000",Andrei Svechnikov
BUF,"925,000","925,000",Dominik Kahun
CHI,"925,000","925,000",Slater Koekkoek
COL,"925,000","880,833",Cale Makar
DAL,"925,000","811,667",Roope Hintz
MIN,"925,000","916,666",Jordan Greenway
OTT,"925,000","925,000",Brady Tkachuk
SJS,"925,000","925,000",Joel Kellman
NJD,"925,000","925,000",Jesper Boqvist
CBJ,"925,000","864,166",Kevin Stenlund
NYR,"925,000","894,166",Filip Chytil
VAN,"925,000","847,500",Zack MacEwen
CHI,"925,000","925,000",Dominik Kubalík
VEG,"925,000","925,000",Zach Whitecloud
MTL,"925,000","863,333",Nick Suzuki
VAN,"925,000","916,667",Quinn Hughes
MIN,"925,000","925,000",Luke Kunin
LAK,"925,000","925,000",Michael Anderson
COL,"925,000","894,167",Martin Kaut
NYR,"925,000","925,000",Igor Shesterkin
CBJ,"925,000","925,000",Matiss Kivlenieks
EDM,"925,000","894,166",Kailer Yamamoto
NJD,"925,000","925,000",Nico Hischier
TOR,"925,000","863,333",Timothy Liljegren
NYR,"925,000","925,000",Brendan Lemieux
VAN,"925,000","916,667",Adam Gaudette
LAK,"925,000","894,167",Gabriel Vilardi
MIN,"905,000","785,000",Alex Stalock
EDM,"900,000","900,000",Riley Sheahan
WPG,"900,000","900,000",Dylan DeMelo
TBL,"900,000","900,000","Maroon, Patrick"
VAN,"900,000","1,050,000",Thatcher Demko
DET,"900,000","900,000",Robby Fabbri
CBJ,"874,125","874,125",Eric Robinson
ARI,"874,125","874,125",Ilya Lyubushkin
ANA,"874,125","874,125",Sonny Milano
DET,"874,125","874,125",Brendan Perlini
PIT,"874,125","874,125",Marcus Pettersson
OTT,"874,125","874,125",Jayce Hawryluk
CBJ,"874,125","874,125",Elvis Merzlikins
CBJ,"874,125","874,125",Ryan MacInnis
CAR,"850,000","850,000",Haydn Fleury
NSH,"850,000","850,000",Korbinian Holzer
STL,"850,000","850,000","Blais, Samuel"
PIT,"850,000","850,000",Juuso Riikola
NYI,"850,000","850,000",Tom Kuhnhackl
COL,"850,000","850,000",Valeri Nichushkin
VAN,"850,000","850,000",Oscar Fantenberg
BOS,"850,000","850,000",Par Lindholm
ANA,"850,000","850,000",Jani Hakanpaa
CHI,"850,000","850,000",Malcolm Subban
WPG,"840,000","775,000",Sami Niku
ANA,"832,500","863,333",Max Jones
TOR,"832,500","863,333",Travis Dermott
TBL,"832,500","894,166",Mikhail Sergachev
CBJ,"832,500","894,166",Gabriel Carlsson
